order,window_h,b
3,0.3,1.5954041353075106
3,0.4,1.9263470247713992
3,0.5,2.023034722386274
3,0.6,2.680541777630112
3,0.7,3.0023009734435706
4,0.3,1.1649974979942557
4,0.4,1.3002815675815165
4,0.5,1.1499089694988351
4,0.6,1.6074164113324618
4,0.7,1.6678187414751013
5,0.3,1.635651148587929
5,0.4,1.9062113076649383
5,0.5,1.839225044639669
5,0.6,2.3562152780787664
5,0.7,2.3897385032889944
6,0.3,1.6429047287388427
6,0.4,1.9435801013849685
6,0.5,1.887739668788689
6,0.6,2.548675977554623
6,0.7,2.6748760174355817
