fold,model,roc_auc,pr_auc,balanced_accuracy,f1,brier,test_users,test_sessions
1,Dummy,0.5,0.5802098950524738,0.5,0.0,0.25392673811181804,17,667
1,Logistic regression,0.5668235511258767,0.5971628519381288,0.5467700258397933,0.553623188405797,0.2591185655080401,17,667
1,RBF-SVM,0.5003322259136214,0.6178433676056452,0.5161821705426356,0.5183016105417276,0.27227622146315233,17,667
1,Random forest,0.5156146179401992,0.5887812340050722,0.5085040605389443,0.48632218844984804,0.2813738949263703,17,667
1,Gradient boosting,0.5055555555555556,0.5730833136736413,0.4919389073458841,0.4813153961136024,0.32073906067993907,17,667
1,XGBoost,0.5080195644149132,0.5839678443055969,0.5096068660022148,0.4954954954954955,0.31095680762876937,17,667
2,Dummy,0.5,0.5022488755622189,0.5,0.0,0.2500135416418245,17,667
2,Logistic regression,0.5749685308397771,0.5461897806876039,0.5998201762272972,0.5898617511520737,0.24517711032623082,17,667
2,RBF-SVM,0.4160492717137206,0.4419946043645639,0.43241323502967094,0.3408695652173913,0.3252788940040836,17,667
2,Random forest,0.48877899658334834,0.48392602574171856,0.5252472576874663,0.4654300168634064,0.2887793681821907,17,667
2,Gradient boosting,0.47788167595756154,0.48240264833222,0.5387475274231254,0.4797297297297297,0.2979480091406971,17,667
2,XGBoost,0.46771264161122095,0.4734822491892496,0.5251393634238446,0.4794745484400657,0.32167791588757616,17,667
3,Dummy,0.5,0.4984984984984985,0.5,0.0,0.24999788703486572,16,666
3,Logistic regression,0.5416997330639924,0.6084351660682967,0.5469843445638842,0.6036745406824147,0.2536478073311941,16,666
3,RBF-SVM,0.6146021210590866,0.6573639306814236,0.5423760911911117,0.5872801082543978,0.24693298169857522,16,666
3,Random forest,0.614331577808239,0.6264763057075932,0.5528010244571099,0.5861111111111111,0.2459601815270598,16,666
3,Gradient boosting,0.6351904624485968,0.608019628043678,0.6214198109804487,0.5935483870967742,0.24432316363578924,16,666
3,XGBoost,0.5597179135704494,0.547204027311565,0.5752470961691076,0.5974395448079659,0.2670598166417628,16,666
4,Dummy,0.5,0.466966966966967,0.5,0.6366427840327533,0.2504916427501068,17,666
4,Logistic regression,0.388184411937865,0.3956100345809969,0.39436166840269915,0.3458401305057096,0.28864244963404007,17,666
4,RBF-SVM,0.420193831801096,0.40725264966858465,0.4582718173995743,0.4437596302003082,0.3064064445099244,17,666
4,Random forest,0.4275395136089851,0.4183696425773646,0.46090303881164807,0.43174603174603177,0.2903090078682688,17,666
4,Gradient boosting,0.47774557311715954,0.464148968389351,0.49182102259861415,0.5007320644216691,0.28981552012599315,17,666
4,XGBoost,0.48216566278701145,0.46830074794505583,0.4886055885150129,0.49632892804698975,0.29841287685404655,17,666
5,Dummy,0.5,0.44594594594594594,0.5,0.616822429906542,0.251441693729732,17,666
5,Logistic regression,0.6042402343215352,0.5605052838455832,0.5698037283403137,0.5335515548281505,0.24146193475126748,17,666
5,RBF-SVM,0.3750467639356528,0.365300051025864,0.3882729736388273,0.3163265306122449,0.3089405419778009,17,666
5,Random forest,0.404218335112644,0.37762386799381864,0.4115956311078262,0.14746543778801843,0.2789646268231345,17,666
5,Gradient boosting,0.44518810507970397,0.4210301276433089,0.42871807505953846,0.30245746691871456,0.2790313664839129,17,666
5,XGBoost,0.40361610686813937,0.3795526755886385,0.37020612630368727,0.1589958158995816,0.3059005811660315,17,666
