month,n,MAE_kW,RMSE_kW,PI90_coverage
1,364.0,0.32653228830077174,0.9140131694057103,0.8021978021978022
2,672.0,0.41695615144892917,1.1485598031648676,0.7857142857142857
3,744.0,0.7371147488234449,1.6924711856281718,0.7889784946236559
4,720.0,1.1650206708757658,2.33215388270034,0.7208333333333333
5,744.0,1.162024646313679,2.358816188590883,0.842741935483871
6,720.0,1.211063926906043,2.258450792054291,0.8402777777777778
7,744.0,1.7497424779256447,3.362312303308008,0.8010752688172043
8,744.0,2.167113832576616,4.113602146062978,0.8064516129032258
9,720.0,2.6485184447870527,5.175178456322611,0.8111111111111111
10,88.0,2.479712243556042,4.924913336145911,0.8181818181818182
