elasticity,policy,reward_mean,reward_sd,revenue_mean,peak_load,load_variance,service_ratio,final_backlog,selected_price
0.5,Best constant,2.6412687810096434,0.08748269040348715,4.061244701014423,0.85,0.10426151513791682,0.9949974715607517,0.04091318088686524,0.5
0.5,Flat 0.30,1.9764440569964818,0.12235124070819624,2.4481179502105626,0.85,0.11150399326211732,0.9996333307419969,0.003009415547167428,
0.5,TOU rule,2.1363957783214085,0.09984062305869605,2.8920913486395206,0.85,0.11493487364591462,0.9999999998774335,2.7755575615628915e-18,
0.5,Tabular Q-learning,2.444312649543488,0.1392582569947723,3.4735855280443055,0.85,0.10997050901394649,0.9981306591350873,0.015331144931413082,
1.0,Best constant,1.7742999490988063,0.10791715099126686,2.4468217345998204,0.85,0.10994949691177347,0.9991060426373174,0.007330134249641959,0.3
1.0,Flat 0.30,1.7742999490988063,0.10791715099126686,2.4468217345998204,0.85,0.10994949691177347,0.9991060426373174,0.007330134249641959,
1.0,TOU rule,1.3530420042391345,0.08372544596779018,2.8463082806607707,0.85,0.11637777183881914,0.9999999998774335,2.7755575615628915e-18,
1.0,Tabular Q-learning,1.7998734060021042,0.04406602143618834,2.73126737819682,0.85,0.10829125181606311,0.9994491677283172,0.004542956190727834,
2.0,Best constant,1.3487775637095938,0.12003608807145413,1.796458987076217,0.85,0.1116516184423795,0.9992640280996132,0.006102743931126075,0.22000000000000003
2.0,Flat 0.30,1.2947453305459364,0.08508319834930289,2.4415710138537334,0.85,0.10628066229445018,0.99696569762288,0.02483253673659862,
2.0,TOU rule,-2.549054844098001,0.3180655638122016,2.7091922001230215,0.85,0.11279997492768304,0.9999999998774334,2.7755575615628915e-18,
2.0,Tabular Q-learning,1.424282738826101,0.06793482855914615,2.154630293143398,0.85,0.11092163935492064,0.9996247724897129,0.0031232679326621596,
3.0,Best constant,1.3368184307502011,0.13984008962663655,1.6326805165831424,0.85,0.11286600454502545,0.9999999998774335,2.7755575615628915e-18,0.2
3.0,Flat 0.30,0.7091359283979072,0.061851797310758135,2.429831504954108,0.85,0.10207825313956678,0.9921752529772896,0.06396423306868342,
3.0,TOU rule,-13.448488476983263,1.0946295913026847,2.5244776604190133,0.85,0.10225609196394217,0.9999999998774334,0.0,
3.0,Tabular Q-learning,1.1143112903687058,0.06671333250007135,2.12829394310295,0.85,0.11056777434276757,0.9995567468493615,0.003636429719151469,
